filename,avg_complexity,mi,loc,lloc,sloc,comments,time
code1.py,1.86,57.4,109,81,62,1,0.03
code10.py,2.22,44.94,76,63,66,0,0.02
code11.py,2.2,43.53,88,67,75,0,0.03
code12.py,2.06,38.45,116,92,94,0,0.03
code13.py,2.38,39.9,111,87,92,0,0.02
code14.py,1.85,47.38,90,68,76,0,0.04
code15.py,1.85,47.38,90,68,76,0,0.03
code16.py,1.93,44.12,92,73,78,0,0.02
code17.py,1.82,44.16,112,88,87,1,0.03
code18.py,1.65,45.53,110,89,87,1,0.04
code19.py,1.25,64.84,82,52,55,4,0.02
code2.py,1.47,58.19,129,104,73,4,0.04
code20.py,1.58,59.36,129,86,88,9,0.05
code3.py,2.11,42.01,72,66,54,0,0.02
code4.py,1.94,39.49,95,82,77,0,0.03
code5.py,2.17,41.51,77,62,62,0,0.02
code6.py,2.42,41.14,88,71,75,0,0.03
code7.py,2.56,41.46,80,68,71,0,0.03
code8.py,2.18,43.75,80,65,69,0,0.02
code9.py,2.45,42.26,79,64,68,0,0.02
refactor_analysis.py,3.5,74.91,60,37,44,6,0.02
