filename,avg_complexity,mi,loc,lloc,sloc,comments,time
code1.py,1.71,58.22,109,79,64,1,0.05
code10.py,2.75,42.79,72,64,63,0,0.03
code11.py,2.0,45.56,90,68,76,0,0.03
code12.py,1.93,40.95,101,80,82,0,0.03
code13.py,2.33,41.1,102,77,82,0,0.03
code14.py,1.85,46.26,89,68,76,0,0.03
code15.py,1.85,46.26,89,68,76,0,0.03
code16.py,2.0,43.93,88,71,76,0,0.03
code17.py,1.82,44.9,108,83,82,1,0.03
code18.py,1.65,45.74,106,87,87,1,0.04
code19.py,1.21,65.5,70,49,48,4,0.02
code2.py,1.5,59.71,125,101,71,5,0.04
code20.py,1.53,59.27,127,95,89,10,0.04
code3.py,2.11,42.91,63,60,54,0,0.03
code4.py,2.07,40.01,88,77,74,0,0.02
code5.py,2.89,41.07,70,61,61,0,0.02
code6.py,2.75,39.23,87,75,75,0,0.03
code7.py,2.56,41.26,79,67,70,0,0.03
code8.py,2.55,42.57,80,69,69,0,0.06
code9.py,3.25,41.42,70,63,62,0,0.03
refactor_analysis.py,3.5,74.91,60,37,44,6,0.02
