filename,avg_complexity,mi,loc,lloc,sloc,comments,time
code1.py,1.92,61.73,89,73,56,2,0.03
code10.py,2.8,55.89,82,68,68,4,0.02
code11.py,2.64,49.66,101,76,80,2,0.04
code12.py,2.57,44.42,108,86,83,1,0.03
code13.py,3.5,43.73,108,83,83,1,0.05
code14.py,2.36,49.61,88,71,74,1,0.03
code15.py,2.5,56.54,90,67,75,4,0.02
code16.py,2.67,54.27,92,70,77,4,0.03
code17.py,1.82,43.78,116,92,91,1,0.03
code18.py,1.73,49.73,98,80,79,2,0.03
code19.py,1.21,64.79,78,49,53,4,0.02
code2.py,1.59,64.23,128,97,74,10,0.04
code20.py,1.53,67.94,171,90,72,2,0.04
code3.py,2.11,50.0,75,67,54,1,0.02
code4.py,2.18,57.79,83,69,66,5,0.03
code5.py,2.62,48.41,106,87,87,4,0.03
code6.py,3.29,56.79,73,61,61,4,0.02
code7.py,3.5,56.56,76,58,61,3,0.02
code8.py,3.22,49.93,71,62,62,1,0.02
code9.py,2.75,49.48,103,83,80,3,0.03
refactor_analysis.py,3.5,74.91,60,37,44,6,0.02
