No;filename;avg_complexity;mi;loc;lloc;sloc;comments;time
1;code1.py;1.62;56.75;111;82;73;1;0.01
2;code2.py;1.61;57.09;140;102;86;5;0.02
3;code3.py;2.33;41.04;74;71;57;0;0.01
4;code4.py;2.29;37.91;101;93;82;0;0.01
5;code5.py;2.45;38.55;88;77;77;0;0.01
6;code6.py;3.2;38.68;85;77;76;0;0.01
7;code7.py;3.33;45.16;63;51;54;0;0.01
8;code8.py;2.55;42.3;80;71;70;0;0.01
9;code9.py;3.1;38.9;77;69;68;0;0.01
10;code10.py;2.54;39.01;94;83;81;0;0.01
11;code11.py;2.45;39.33;104;81;92;0;0.02
12;code12.py;1.94;37.04;115;100;97;0;0.02
13;code13.py;2.77;36.49;114;100;100;0;0.01
14;code14.py;2.43;37.97;111;95;98;0;0.01
15;code15.py;2.43;37.97;111;95;98;0;0.02
16;code16.py;2.57;36.35;108;100;96;0;0.02
17;code17.py;2.04;38.37;137;114;110;1;0.02
18;code18.py;1.75;44.41;109;101;91;1;0.02
19;code19.py;1.67;59.87;98;73;70;6;0.01
20;code20.py;1.75;58.75;142;111;98;11;0.02
