No;filename;avg_complexity;mi;loc;lloc;sloc;comments;time
1;code1.py;1.92;60.14;97;73;56;1;0.02
2;code2.py;1.62;59.88;105;88;72;7;0.02
3;code3.py;2.0;42.32;70;65;53;0;0.01
4;code4.py;1.9;48.58;64;55;51;0;0.01
5;code5.py;2.11;41.15;82;70;64;0;0.01
6;code6.py;3.71;38.39;93;84;79;0;0.01
7;code7.py;2.5;42.45;77;66;63;0;0.01
8;code8.py;2.44;41.4;86;78;72;0;0.01
9;code9.py;3.0;38.04;94;86;80;0;0.02
10;code10.py;2.14;50.31;56;46;46;0;0.01
11;code11.py;2.14;50.31;56;46;46;0;0.0
12;code12.py;3.67;41.93;82;62;67;0;0.02
13;code13.py;3.0;57.88;89;66;66;5;0.01
14;code14.py;2.23;51.47;95;74;77;2;0.01
15;code15.py;2.23;52.05;92;71;74;2;0.01
16;code16.py;2.42;48.85;88;71;71;1;0.01
17;code17.py;2.14;47.89;97;79;79;1;0.01
18;code18.py;2.0;52.22;76;62;62;1;0.01
19;code19.py;2.31;45.9;93;78;77;1;0.01
20;code20.py;2.33;55.72;61;51;49;1;0.01
