filename,avg_complexity,mi,loc,lloc,sloc,comments,time
code1.py,2.58,56.83,123,88,79,3,0.02
code10.py,3.17,43.02,75,68,67,0,0.01
code11.py,3.17,43.08,74,65,64,0,0.01
code12.py,4.2,40.99,78,65,62,0,0.02
code13.py,5.2,45.79,95,74,74,1,0.01
code14.py,4.4,42.64,72,63,62,0,0.01
code15.py,4.4,42.64,72,63,62,0,0.01
code16.py,4.4,42.6,68,59,58,0,0.01
code2.py,1.6,59.74,140,96,82,5,0.02
code3.py,2.57,41.26,73,70,64,0,0.01
code4.py,2.83,43.25,67,63,60,0,0.01
code5.py,3.83,37.26,89,80,80,0,0.02
code6.py,4.2,40.98,76,70,70,0,0.01
code7.py,13.0,45.94,56,48,48,0,0.01
code8.py,3.2,45.45,65,59,59,0,0.01
code9.py,18.0,42.65,59,52,52,0,0.01
refactor_analysis.py,3.5,74.91,60,37,44,6,0.01
